task_id,file_id,sentence,tokens_id,publisher,source,1. What is your perceived reliability of this source of information?,1. Optional Comments:,1. worker_id,2. What is your perceived reliability of this source of information?,2. Optional Comments:,2. worker_id,3. What is your perceived reliability of this source of information?,3. Optional Comments:,3. worker_id,4. What is your perceived reliability of this source of information?,4. Optional Comments:,4. worker_id,5. What is your perceived reliability of this source of information?,5. Optional Comments:,5. worker_id,6. What is your perceived reliability of this source of information?,6. Optional Comments:,6. worker_id,7. What is your perceived reliability of this source of information?,7. Optional Comments:,7. worker_id
fdac7180-c9c1-4e7b-9d4c-6875d1da582b,Church-Law-&-Tax_20170707T234627.conll.annot,5,1 2 3 4 5 6,Church Law & Tax,The New York Public Health Law,3 - The source is potentially reliable,"",VPA49GVE9GAV,4 - The source is somewhat reliable,"",TXDGD7PRFE4G,3 - The source is potentially reliable,"",9MXXQWCEDHHX,5 - The source is fully reliable,"",ATEZ9499929P,4 - The source is somewhat reliable,"",VHYWA473JMK3,4 - The source is somewhat reliable,"",N7P6PRKRJCTQ,4 - The source is somewhat reliable,"",64AFFXCKWR7N
fc835cfa-4b3a-49e1-a400-0f408947dc32,VacTruth-com_20170326T020022.conll.annot,34,2 3,VacTruth.com,actual research,2 - The source is somewhat unreliable,"",VPA49GVE9GAV,2 - The source is somewhat unreliable,"",TXDGD7PRFE4G,1 - The source is totally unreliable,"",9MXXQWCEDHHX,1 - The source is totally unreliable,"",64AFFXCKWR7N,3 - The source is potentially reliable,"",VHYWA473JMK3,3 - The source is potentially reliable,"",ATEZ9499929P,3 - The source is potentially reliable,"",7R2NKCJQNXPP
fd9e98c1-d7e4-400b-a4e1-5ab323183506,Epilepsy-Foundation_20161027T230500.conll.annot,87,48 49 50,Epilepsy Foundation,President Ronald Reagan,3 - The source is potentially reliable,"",VPA49GVE9GAV,5 - The source is fully reliable,"",TXDGD7PRFE4G,4 - The source is somewhat reliable,"",9MXXQWCEDHHX,5 - The source is fully reliable,"",N7P6PRKRJCTQ,5 - The source is fully reliable,"",ATEZ9499929P,4 - The source is somewhat reliable,"",7R2NKCJQNXPP,5 - The source is fully reliable,"",VHYWA473JMK3
f5760b6b-3e77-437e-94ab-145dceaf3cfd,drsuzanne-net_20170606T042830.conll.annot,87,17 18,drsuzanne.net,most grandparents,3 - The source is potentially reliable,"",TXDGD7PRFE4G,2 - The source is somewhat unreliable,"",9MXXQWCEDHHX,1 - The source is totally unreliable,"",NKJG9Q32MFF2,1 - The source is totally unreliable,"",64AFFXCKWR7N,1 - The source is totally unreliable,"",N7P6PRKRJCTQ,3 - The source is potentially reliable,"",VHYWA473JMK3,1 - The source is totally unreliable,"",ATEZ9499929P
f9d907a1-2547-4852-98fb-d0b26b7fc3e3,Science-News-for-Students_20160715T223017.conll.annot,40,8 9 10 11 12,Science News for Students,this coauthor of the study,2 - The source is somewhat unreliable,"",VPA49GVE9GAV,4 - The source is somewhat reliable,"",TXDGD7PRFE4G,5 - The source is fully reliable,"",9MXXQWCEDHHX,3 - The source is potentially reliable,"",CEHXHWFAVDAD,3 - The source is potentially reliable,"",VHYWA473JMK3,3 - The source is potentially reliable,"",ATEZ9499929P,5 - The source is fully reliable,"",HQ9C62JNTQAD
fb995255-d391-4ee9-b41a-353bac4ac91f,dogsnaturallymagazine-com_20170804T052804.conll.annot,29,36 37,www.dogsnaturallymagazine.com,Greencross clinics,3 - The source is potentially reliable,"",VPA49GVE9GAV,4 - The source is somewhat reliable,"",TXDGD7PRFE4G,3 - The source is potentially reliable,"",9MXXQWCEDHHX,3 - The source is potentially reliable,"",CEHXHWFAVDAD,3 - The source is potentially reliable,"",NKJG9Q32MFF2,2 - The source is somewhat unreliable,"",N7P6PRKRJCTQ,5 - The source is fully reliable,"",ATEZ9499929P
fd9abb2d-a620-47af-8a05-7781639e4e85,Voices-For-Vaccines_20161129T121825.conll.annot,13,1 2 3,Voices For Vaccines,Most practice guidelines,3 - The source is potentially reliable,"",VPA49GVE9GAV,3 - The source is potentially reliable,"",TXDGD7PRFE4G,2 - The source is somewhat unreliable,"",9MXXQWCEDHHX,3 - The source is potentially reliable,"",VHYWA473JMK3,2 - The source is somewhat unreliable,"",CEHXHWFAVDAD,2 - The source is somewhat unreliable,"",64AFFXCKWR7N,1 - The source is totally unreliable,"",N7P6PRKRJCTQ
f90538d6-e27a-4aa9-a3cf-656043e2e818,Scientific-American_20170112T025035.conll.annot,25,13 14 15 16 17 18 19 20 21 22 23 24 25,Scientific American,"Paul Offit , a pediatrics professor at The Children ’s Hospital of Philadelphia",4 - The source is somewhat reliable,"",VPA49GVE9GAV,5 - The source is fully reliable,"",TXDGD7PRFE4G,5 - The source is fully reliable,"",9MXXQWCEDHHX,4 - The source is somewhat reliable,"",64AFFXCKWR7N,5 - The source is fully reliable,"",NKJG9Q32MFF2,5 - The source is fully reliable,"",ATEZ9499929P,4 - The source is somewhat reliable,"",N7P6PRKRJCTQ
fb57a8a7-5568-4615-9615-87071aab1a0e,the-Guardian_20160416T111806.conll.annot,53,1,the Guardian,Henney,2 - The source is somewhat unreliable,"",VPA49GVE9GAV,4 - The source is somewhat reliable,"",TXDGD7PRFE4G,1 - The source is totally unreliable,"",9MXXQWCEDHHX,2 - The source is somewhat unreliable,"",N7P6PRKRJCTQ,2 - The source is somewhat unreliable,"",VHYWA473JMK3,2 - The source is somewhat unreliable,"",7R2NKCJQNXPP,2 - The source is somewhat unreliable,"",ATEZ9499929P
de135448-fc8a-433d-831d-66d336b71bff,Child-Health-Safety_20170626T115833.conll.annot,274,10 11 12,________________Child Health Safety_________________,James D Cole,2 - The source is somewhat unreliable,"",VPA49GVE9GAV,3 - The source is potentially reliable,"",CZPMWCFG6FAT,2 - The source is somewhat unreliable,"",N7P6PRKRJCTQ,2 - The source is somewhat unreliable,"",4ACJA6QTDYMG,4 - The source is somewhat reliable,"",TXDGD7PRFE4G,3 - The source is potentially reliable,"",64AFFXCKWR7N,3 - The source is potentially reliable,"",ATEZ9499929P
fbe57e50-def0-4444-b1d7-fc1755b5d048,The-People's-Chemist_20170219T051704.conll.annot,100,7 8,The People's Chemist,Parenting Magazine,2 - The source is somewhat unreliable,"",VPA49GVE9GAV,4 - The source is somewhat reliable,"",TXDGD7PRFE4G,3 - The source is potentially reliable,"",9MXXQWCEDHHX,3 - The source is potentially reliable,"",NKJG9Q32MFF2,3 - The source is potentially reliable,"",CEHXHWFAVDAD,3 - The source is potentially reliable,"",VHYWA473JMK3,2 - The source is somewhat unreliable,"",N7P6PRKRJCTQ
ce9df88d-b014-44df-b9f1-69debfd94fbe,Stop-Mandatory-Vaccination_20170324T022210.conll.annot,29,8 9,Stop Mandatory Vaccination,Joann Ciccone-fariello,4 - The source is somewhat reliable,"",DXWH4J7X6RGH,5 - The source is fully reliable,"",2GKTZAGQYCN4,2 - The source is somewhat unreliable,"",VPA49GVE9GAV,1 - The source is totally unreliable,"",MR9ZWVMJJQ3D,1 - The source is totally unreliable,"",N7P6PRKRJCTQ,1 - The source is totally unreliable,"",CZPMWCFG6FAT,2 - The source is somewhat unreliable,"",VHYWA473JMK3
fd01797c-8a58-4cdf-aa2d-587bf1f8854d,Skeptical-Raptor_20170628T161832.conll.annot,309,55,Skeptical Raptor,God,1 - The source is totally unreliable,"",VPA49GVE9GAV,1 - The source is totally unreliable,"",TXDGD7PRFE4G,1 - The source is totally unreliable,"",9MXXQWCEDHHX,2 - The source is somewhat unreliable,"",64AFFXCKWR7N,1 - The source is totally unreliable,"",CEHXHWFAVDAD,1 - The source is totally unreliable,"",N7P6PRKRJCTQ,1 - The source is totally unreliable,"",VHYWA473JMK3
f746fbaa-d367-4108-9944-dbeb41715f15,uptodate-com_20161125T164528.conll.annot,165,1 2,www.uptodate.com,Expert groups,2 - The source is somewhat unreliable,"",VPA49GVE9GAV,4 - The source is somewhat reliable,"",TXDGD7PRFE4G,2 - The source is somewhat unreliable,"",9MXXQWCEDHHX,2 - The source is somewhat unreliable,"",N7P6PRKRJCTQ,3 - The source is potentially reliable,"",CP3ZZJMQTTK6,2 - The source is somewhat unreliable,"",NKJG9Q32MFF2,2 - The source is somewhat unreliable,"",ATEZ9499929P
f9d7a0e2-2434-4d54-ad34-4ba25dc239bf,drsuzanne-net_20170606T042830.conll.annot,1,37 38 39 40 41,drsuzanne.net,most of the medical profession,2 - The source is somewhat unreliable,"",VPA49GVE9GAV,3 - The source is potentially reliable,"",TXDGD7PRFE4G,1 - The source is totally unreliable,"",9MXXQWCEDHHX,1 - The source is totally unreliable,"",64AFFXCKWR7N,1 - The source is totally unreliable,"",N7P6PRKRJCTQ,3 - The source is potentially reliable,"",VHYWA473JMK3,2 - The source is somewhat unreliable,"",CEHXHWFAVDAD
f739a9b4-f6a7-4c83-bebc-f0e13797710d,Ars-Technica_20171003T014942.conll.annot,13,6 7,Ars Technica,the researchers,3 - The source is potentially reliable,"",VPA49GVE9GAV,4 - The source is somewhat reliable,"",TXDGD7PRFE4G,1 - The source is totally unreliable,"",9MXXQWCEDHHX,3 - The source is potentially reliable,"",NKJG9Q32MFF2,3 - The source is potentially reliable,"",64AFFXCKWR7N,3 - The source is potentially reliable,"",N7P6PRKRJCTQ,3 - The source is potentially reliable,"",VHYWA473JMK3
f94cf9a4-6c56-4c81-aae3-0c6c01259f0f,health-gov-on-ca_20170109T215856.conll.annot,2,1 2 3 4 5 6 7 8 9 10 11,www.health.gov.on.ca,The Canadian Paediatric Society and the National Advisory Committee on Immunization,3 - The source is potentially reliable,"",VPA49GVE9GAV,5 - The source is fully reliable,"",TXDGD7PRFE4G,5 - The source is fully reliable,"",9MXXQWCEDHHX,3 - The source is potentially reliable,"",CP3ZZJMQTTK6,5 - The source is fully reliable,"",CEHXHWFAVDAD,5 - The source is fully reliable,"",N7P6PRKRJCTQ,5 - The source is fully reliable,"",VHYWA473JMK3
f58275f8-ab8c-4a8b-ba40-9bc654bb7df5,Scientific-American_20170506T132335.conll.annot,15,2 3,Scientific American,the parents,2 - The source is somewhat unreliable,"",VPA49GVE9GAV,4 - The source is somewhat reliable,"",TXDGD7PRFE4G,4 - The source is somewhat reliable,"",64AFFXCKWR7N,1 - The source is totally unreliable,"",9MXXQWCEDHHX,2 - The source is somewhat unreliable,"",N7P6PRKRJCTQ,4 - The source is somewhat reliable,"",NKJG9Q32MFF2,2 - The source is somewhat unreliable,"",CEHXHWFAVDAD
f07739c8-c56c-44ea-a223-5db22582b4ed,sharylattkisson-com_20171001T192931.conll.annot,32,7 8 9 10 11 12 13 14 15 16 17 18,sharylattkisson.com,a serology study by the College of Pharmacy at University of Michigan,3 - The source is potentially reliable,"",VPA49GVE9GAV,5 - The source is fully reliable,"",TXDGD7PRFE4G,4 - The source is somewhat reliable,"",JZ7ANTA4WC4X,3 - The source is potentially reliable,"",9MXXQWCEDHHX,3 - The source is potentially reliable,"",64AFFXCKWR7N,4 - The source is somewhat reliable,"",CEHXHWFAVDAD,2 - The source is somewhat unreliable,"",N7P6PRKRJCTQ
f029f11d-0411-41dd-bc71-5c8fa7fba84c,en-wikipedia-org_20170318T104602.conll.annot,46,4 5 6 7 8 9 10 11 12,en.wikipedia.org,"Holwell 's use of the word \"" animalculae \""",I don't know.,"",VPA49GVE9GAV,4 - The source is somewhat reliable,"",TXDGD7PRFE4G,2 - The source is somewhat unreliable,"",9MXXQWCEDHHX,3 - The source is potentially reliable,"",9W32AJH3DRDF,4 - The source is somewhat reliable,"",NKJG9Q32MFF2,3 - The source is potentially reliable,"",JZ7ANTA4WC4X,1 - The source is totally unreliable,"",N7P6PRKRJCTQ
f3c1758a-fb06-4283-bced-1bc7c099b222,nature-com_20170423T083747.conll.annot,101,1,www.nature.com,Researchers,3 - The source is potentially reliable,"",VPA49GVE9GAV,4 - The source is somewhat reliable,"",TXDGD7PRFE4G,3 - The source is potentially reliable,"",JZ7ANTA4WC4X,4 - The source is somewhat reliable,"",9MXXQWCEDHHX,5 - The source is fully reliable,"",64AFFXCKWR7N,4 - The source is somewhat reliable,"",PKAFWTW2AW2G,2 - The source is somewhat unreliable,"",N7P6PRKRJCTQ
f93aefb8-691f-4d29-83c2-d3ba2d58c6b4,NaturalNews_20170628T201245.conll.annot,22,1 2 3 4 5 6 7 8 9 10,NaturalNews,The Office of Medical and Scientific Justice ( OMSJ ),2 - The source is somewhat unreliable,"",VPA49GVE9GAV,5 - The source is fully reliable,"",TXDGD7PRFE4G,5 - The source is fully reliable,"",9MXXQWCEDHHX,2 - The source is somewhat unreliable,"",64AFFXCKWR7N,3 - The source is potentially reliable,"",NKJG9Q32MFF2,3 - The source is potentially reliable,"",CP3ZZJMQTTK6,3 - The source is potentially reliable,"",N7P6PRKRJCTQ
f68ad2fc-a508-4b63-887b-c8fc9fcfc0dd,SELF_20170611T091338.conll.annot,1,12 13,SELF,the state,2 - The source is somewhat unreliable,"",VPA49GVE9GAV,4 - The source is somewhat reliable,"",TXDGD7PRFE4G,2 - The source is somewhat unreliable,"",9MXXQWCEDHHX,3 - The source is potentially reliable,"",NKJG9Q32MFF2,3 - The source is potentially reliable,"",64AFFXCKWR7N,2 - The source is somewhat unreliable,"",N7P6PRKRJCTQ,2 - The source is somewhat unreliable,"",CP3ZZJMQTTK6
f10c3a27-f4d1-41e3-a752-bf9077765fdd,wonkette-com_20160919T234256.conll.annot,1,6,wonkette.com,science,3 - The source is potentially reliable,"",VPA49GVE9GAV,4 - The source is somewhat reliable,"",TXDGD7PRFE4G,2 - The source is somewhat unreliable,"",NKJG9Q32MFF2,2 - The source is somewhat unreliable,"",9MXXQWCEDHHX,2 - The source is somewhat unreliable,"",7R2NKCJQNXPP,3 - The source is potentially reliable,"",JZ7ANTA4WC4X,2 - The source is somewhat unreliable,"",N7P6PRKRJCTQ
c165ab83-43ef-45b8-8921-b363a96ac36e,thinktwice-com_20170627T191857.conll.annot,1,51 52 53,www.thinktwice.com,a firsthand report,1 - The source is totally unreliable,"",DXWH4J7X6RGH,3 - The source is potentially reliable,"",4QHKZTW26XFW,3 - The source is potentially reliable,"",J7JETG7VHPMK,2 - The source is somewhat unreliable,"",2GKTZAGQYCN4,1 - The source is totally unreliable,"",7YG43VN77NW3,2 - The source is somewhat unreliable,"",4ACJA6QTDYMG,1 - The source is totally unreliable,"",N7P6PRKRJCTQ
f56dff91-4829-46de-b905-92c5291b8a60,en-wikipedia-org_20170412T054820.conll.annot,54,1,en.wikipedia.org,Hilleman,2 - The source is somewhat unreliable,"",VPA49GVE9GAV,4 - The source is somewhat reliable,"",TXDGD7PRFE4G,3 - The source is potentially reliable,"",9MXXQWCEDHHX,3 - The source is potentially reliable,"",JZ7ANTA4WC4X,4 - The source is somewhat reliable,"",64AFFXCKWR7N,5 - The source is fully reliable,"",PKAFWTW2AW2G,4 - The source is somewhat reliable,"",CEHXHWFAVDAD
f3218cb5-9fbc-462a-a951-446f734867ff,National-Vaccine-Information-Center-(NVIC)_20170616T025538.conll.annot,4,32 33 34,National Vaccine Information Center (NVIC),one California newspaper,3 - The source is potentially reliable,"",VPA49GVE9GAV,5 - The source is fully reliable,"",TXDGD7PRFE4G,2 - The source is somewhat unreliable,"",9MXXQWCEDHHX,5 - The source is fully reliable,"",64AFFXCKWR7N,3 - The source is potentially reliable,"",JZ7ANTA4WC4X,3 - The source is potentially reliable,"",NKJG9Q32MFF2,3 - The source is potentially reliable,"",N7P6PRKRJCTQ
f3244831-e05e-4abc-aeaa-c837df12e68c,vaccine-injury-info_20170922T015859.conll.annot,35,18,vaccine-injury.info,doctors,2 - The source is somewhat unreliable,"",VPA49GVE9GAV,4 - The source is somewhat reliable,"",TXDGD7PRFE4G,2 - The source is somewhat unreliable,"",9MXXQWCEDHHX,1 - The source is totally unreliable,"",64AFFXCKWR7N,1 - The source is totally unreliable,"",N7P6PRKRJCTQ,4 - The source is somewhat reliable,"",PKAFWTW2AW2G,1 - The source is totally unreliable,"",NKJG9Q32MFF2
ef78031a-f0b9-4450-bb5d-2104cb434b1b,NaturalNews_20170628T201245.conll.annot,6,29 30 31 32 33 34 35 36,NaturalNews,"Leslie Manookian , a documentary filmmaker and activist",2 - The source is somewhat unreliable,"",VPA49GVE9GAV,5 - The source is fully reliable,"",TXDGD7PRFE4G,3 - The source is potentially reliable,"",N7P6PRKRJCTQ,3 - The source is potentially reliable,"",JZ7ANTA4WC4X,4 - The source is somewhat reliable,"",7R2NKCJQNXPP,3 - The source is potentially reliable,"",9MXXQWCEDHHX,2 - The source is somewhat unreliable,"",NKJG9Q32MFF2
f2563c84-764f-424b-8770-dc6c0e49ba03,Child-Health-Safety_20170626T115833.conll.annot,61,8 9 10 11,________________Child Health Safety_________________,government agencies and officials,4 - The source is somewhat reliable,"",VPA49GVE9GAV,5 - The source is fully reliable,"",TXDGD7PRFE4G,3 - The source is potentially reliable,"",JZ7ANTA4WC4X,3 - The source is potentially reliable,"",9MXXQWCEDHHX,3 - The source is potentially reliable,"",7R2NKCJQNXPP,2 - The source is somewhat unreliable,"",NKJG9Q32MFF2,4 - The source is somewhat reliable,"",PKAFWTW2AW2G
f2c64d4c-38f3-4956-8e03-dfe2f44b4ce1,BBC-News_20161119T015125.conll.annot,11,1 2 3 4,BBC News,Mr du Marchie Sarvaas,2 - The source is somewhat unreliable,"",VPA49GVE9GAV,5 - The source is fully reliable,"",TXDGD7PRFE4G,5 - The source is fully reliable,"",9MXXQWCEDHHX,3 - The source is potentially reliable,"",JZ7ANTA4WC4X,5 - The source is fully reliable,"",64AFFXCKWR7N,5 - The source is fully reliable,"",NKJG9Q32MFF2,4 - The source is somewhat reliable,"",PKAFWTW2AW2G
f2285f4c-ebe3-4e69-9430-0a6cfea05a24,Stop-Mandatory-Vaccination_20161120T082441.conll.annot,23,7 8 9 10 11 12,Stop Mandatory Vaccination,the US Food and Drug Administration,5 - The source is fully reliable,"",VPA49GVE9GAV,5 - The source is fully reliable,"",TXDGD7PRFE4G,1 - The source is totally unreliable,"",9MXXQWCEDHHX,1 - The source is totally unreliable,"",N7P6PRKRJCTQ,4 - The source is somewhat reliable,"",JZ7ANTA4WC4X,4 - The source is somewhat reliable,"",PKAFWTW2AW2G,1 - The source is totally unreliable,"",NKJG9Q32MFF2
b64afbfb-e886-46d4-b7ce-ea3070a7d023,CIDRAP_20161223T092534.conll.annot,21,1,CIDRAP,Schuchat,4 - The source is somewhat reliable,"",DXWH4J7X6RGH,3 - The source is potentially reliable,"",4QHKZTW26XFW,3 - The source is potentially reliable,"",J7JETG7VHPMK,3 - The source is potentially reliable,"",2GKTZAGQYCN4,3 - The source is potentially reliable,"",N7P6PRKRJCTQ,2 - The source is somewhat unreliable,"",ZRN7M74DZ3QK,I don't know.,"",9MXXQWCEDHHX
ef36cc2c-ac8d-4b0b-acd7-f43ff0000756,nytimes-com_20170309T113837.conll.annot,15,19 20 21 22 23 24,www.nytimes.com,"her husband , a chiropractor ,",3 - The source is potentially reliable,"",VPA49GVE9GAV,4 - The source is somewhat reliable,"",TXDGD7PRFE4G,2 - The source is somewhat unreliable,"",N7P6PRKRJCTQ,5 - The source is fully reliable,"",64AFFXCKWR7N,3 - The source is potentially reliable,"",NKJG9Q32MFF2,4 - The source is somewhat reliable,"",9MXXQWCEDHHX,4 - The source is somewhat reliable,"",PKAFWTW2AW2G
d8c65734-6ac6-4c24-90dd-975749125561,cdc-gov_20170703T010627.conll.annot,20,4 5,www.cdc.gov,some people,2 - The source is somewhat unreliable,"",2GKTZAGQYCN4,2 - The source is somewhat unreliable,"",VPA49GVE9GAV,2 - The source is somewhat unreliable,"",CZPMWCFG6FAT,3 - The source is potentially reliable,"",4ACJA6QTDYMG,5 - The source is fully reliable,"",TXDGD7PRFE4G,2 - The source is somewhat unreliable,"",J7JETG7VHPMK,2 - The source is somewhat unreliable,"",JZ7ANTA4WC4X
ea2dd34c-a4a0-499d-988b-72c0e1c16b4f,CNN_20170928T102949.conll.annot,26,25,CNN,officials,3 - The source is potentially reliable,"",VPA49GVE9GAV,4 - The source is somewhat reliable,"",CZPMWCFG6FAT,5 - The source is fully reliable,"",TXDGD7PRFE4G,3 - The source is potentially reliable,"",N7P6PRKRJCTQ,3 - The source is potentially reliable,"",4ACJA6QTDYMG,4 - The source is somewhat reliable,"",NKJG9Q32MFF2,4 - The source is somewhat reliable,"",JZ7ANTA4WC4X
bdcdd4cd-1490-405a-8c6e-a2486fd07e60,Variety_20170614T212541.conll.annot,58,8 9 10 11,Variety,"you , Frito ,",1 - The source is totally unreliable,"",DXWH4J7X6RGH,2 - The source is somewhat unreliable,"",J7JETG7VHPMK,1 - The source is totally unreliable,"",ZRN7M74DZ3QK,1 - The source is totally unreliable,"",2GKTZAGQYCN4,1 - The source is totally unreliable,"",7R2NKCJQNXPP,5 - The source is fully reliable,"",MR9ZWVMJJQ3D,2 - The source is somewhat unreliable,"",9MXXQWCEDHHX
f21fc19c-078c-4128-b1e3-9de3780edfc6,latimes-com_20170628T014330.conll.annot,19,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28,latimes.com,"Turner , whose daughters are vaccinated but who follows forums on natural alternatives for a range of issues",2 - The source is somewhat unreliable,"",VPA49GVE9GAV,3 - The source is potentially reliable,"",TXDGD7PRFE4G,4 - The source is somewhat reliable,"",N7P6PRKRJCTQ,2 - The source is somewhat unreliable,"",4ACJA6QTDYMG,2 - The source is somewhat unreliable,"",64AFFXCKWR7N,3 - The source is potentially reliable,"",NKJG9Q32MFF2,3 - The source is potentially reliable,"",9MXXQWCEDHHX
