task_id,file_id,sentence,tokens_id,publisher,source,1. What is your perceived reliability of this source of information?,1. Optional Comments:,1. worker_id,2. What is your perceived reliability of this source of information?,2. Optional Comments:,2. worker_id,3. What is your perceived reliability of this source of information?,3. Optional Comments:,3. worker_id,4. What is your perceived reliability of this source of information?,4. Optional Comments:,4. worker_id,5. What is your perceived reliability of this source of information?,5. Optional Comments:,5. worker_id,6. What is your perceived reliability of this source of information?,6. Optional Comments:,6. worker_id,7. What is your perceived reliability of this source of information?,7. Optional Comments:,7. worker_id,8. What is your perceived reliability of this source of information?,8. Optional Comments:,8. worker_id,9. What is your perceived reliability of this source of information?,9. Optional Comments:,9. worker_id,10. What is your perceived reliability of this source of information?,10. Optional Comments:,10. worker_id
a1f2b6d8-412f-4e3b-9ab7-79c5e8d40f2f,Health-Impact-News_20170428T192431.conll.annot,144,7 8,Health Impact News,a claim,2 - The source is somewhat unreliable,"",3MEG6THYHV69,2 - The source is somewhat unreliable,"",K4GKD97M6XT4,3 - The source is potentially reliable,"",QEZAEMV2WF9D,3 - The source is potentially reliable,"",VKJ2WV7P7ZTA,2 - The source is somewhat unreliable,"",NFN2M74RPJ2Q,1 - The source is totally unreliable,"",MDJFDCCJ3JMA,1 - The source is totally unreliable,"",XJKGQQWFXKTX,I don't know.,"",TC6999WXZFAN,2 - The source is somewhat unreliable,"",VHYWA473JMK3,3 - The source is potentially reliable,"",GM7WMPEN2H9W
b767bea4-aa41-4843-a706-856e41cee671,NaturalNews_20170606T044813.conll.annot,24,11 12 13,NaturalNews,most vaccine pushers,3 - The source is potentially reliable,"",QEZAEMV2WF9D,2 - The source is somewhat unreliable,"",3MEG6THYHV69,2 - The source is somewhat unreliable,"",VKJ2WV7P7ZTA,1 - The source is totally unreliable,"",NFN2M74RPJ2Q,2 - The source is somewhat unreliable,"",K4GKD97M6XT4,1 - The source is totally unreliable,"",XJKGQQWFXKTX,I don't know.,"",TC6999WXZFAN,1 - The source is totally unreliable,"",DQF4H44Q9Y7G,1 - The source is totally unreliable,"",D69JPMAFP9GP,2 - The source is somewhat unreliable,"",GM7WMPEN2H9W
966bfe78-e1d3-4eca-84a1-7365db6135df,Skeptical-Raptor_20170628T161832.conll.annot,195,6,Skeptical Raptor,anyone,1 - The source is totally unreliable,"",APKAYMEPJ3TR,1 - The source is totally unreliable,"",TZF9ZHYFXAXZ,I don't know.,"",VPA49GVE9GAV,1 - The source is totally unreliable,"",3MEG6THYHV69,1 - The source is totally unreliable,"",QEZAEMV2WF9D,1 - The source is totally unreliable,"",NFN2M74RPJ2Q,3 - The source is potentially reliable,"",XJKGQQWFXKTX,I don't know.,"",TC6999WXZFAN,1 - The source is totally unreliable,"",DQF4H44Q9Y7G,1 - The source is totally unreliable,"",GM7WMPEN2H9W
8c9921b4-101a-49c3-ac23-683c0055dab5,Banning-Beaumont-CA-Patch_20150812T082915.conll.annot,17,17 18,Banning-Beaumont CA Patch,the CDC,4 - The source is somewhat reliable,"",APKAYMEPJ3TR,4 - The source is somewhat reliable,"",VPA49GVE9GAV,5 - The source is fully reliable,"",3MEG6THYHV69,4 - The source is somewhat reliable,"",VKJ2WV7P7ZTA,5 - The source is fully reliable,"",NFN2M74RPJ2Q,5 - The source is fully reliable,"",MDJFDCCJ3JMA,5 - The source is fully reliable,"",XJKGQQWFXKTX,5 - The source is fully reliable,"",DQF4H44Q9Y7G,5 - The source is fully reliable,"",VHYWA473JMK3,5 - The source is fully reliable,"",D69JPMAFP9GP
84df0038-b812-4bf4-a8fb-8cdf72cb4862,Parents_20170705T132137.conll.annot,57,4 5,Parents,government scientists,3 - The source is potentially reliable,"",AH74XWK3GPFR,3 - The source is potentially reliable,"",APKAYMEPJ3TR,5 - The source is fully reliable,"",K4GKD97M6XT4,4 - The source is somewhat reliable,"",QEZAEMV2WF9D,2 - The source is somewhat unreliable,"",NFN2M74RPJ2Q,3 - The source is potentially reliable,"",MDJFDCCJ3JMA,2 - The source is somewhat unreliable,"",VKJ2WV7P7ZTA,4 - The source is somewhat reliable,"",TC6999WXZFAN,4 - The source is somewhat reliable,"",DQF4H44Q9Y7G,5 - The source is fully reliable,"",VHYWA473JMK3
bcc29f18-b9b9-43a2-b187-1f03f241d137,unicef-org_20161024T164946.conll.annot,18,1 2 3 4 5 6 7,www.unicef.org,The World Health Organization ( WHO ),5 - The source is fully reliable,"",3MEG6THYHV69,5 - The source is fully reliable,"",K4GKD97M6XT4,5 - The source is fully reliable,"",NFN2M74RPJ2Q,5 - The source is fully reliable,"",VKJ2WV7P7ZTA,5 - The source is fully reliable,"",MDJFDCCJ3JMA,5 - The source is fully reliable,"",XJKGQQWFXKTX,5 - The source is fully reliable,"",TC6999WXZFAN,5 - The source is fully reliable,"",DQF4H44Q9Y7G,5 - The source is fully reliable,"",D69JPMAFP9GP,5 - The source is fully reliable,"",VHYWA473JMK3
b668fac0-b372-462f-9377-b80f4d837e54,Science-Based-Medicine_20170701T065108.conll.annot,21,8 9,Science-Based Medicine,Other sources,2 - The source is somewhat unreliable,"",AH74XWK3GPFR,3 - The source is potentially reliable,"",APKAYMEPJ3TR,I don't know.,"",VPA49GVE9GAV,2 - The source is somewhat unreliable,"",VKJ2WV7P7ZTA,2 - The source is somewhat unreliable,"",NFN2M74RPJ2Q,2 - The source is somewhat unreliable,"",MDJFDCCJ3JMA,4 - The source is somewhat reliable,"",XJKGQQWFXKTX,4 - The source is somewhat reliable,"",TC6999WXZFAN,2 - The source is somewhat unreliable,"",DQF4H44Q9Y7G,3 - The source is potentially reliable,"",D69JPMAFP9GP
8c5bca89-4ba1-4fd3-b6a0-e43eb2d53b0b,Respectful-Insolence_20170806T205046.conll.annot,13,8 9,Respectful Insolence,news reports,3 - The source is potentially reliable,"",TZF9ZHYFXAXZ,3 - The source is potentially reliable,"",APKAYMEPJ3TR,2 - The source is somewhat unreliable,"",QEZAEMV2WF9D,3 - The source is potentially reliable,"",VKJ2WV7P7ZTA,3 - The source is potentially reliable,"",NFN2M74RPJ2Q,3 - The source is potentially reliable,"",MDJFDCCJ3JMA,2 - The source is somewhat unreliable,"",K4GKD97M6XT4,3 - The source is potentially reliable,"",XJKGQQWFXKTX,3 - The source is potentially reliable,"",DQF4H44Q9Y7G,3 - The source is potentially reliable,"",VHYWA473JMK3
97576e17-e57d-4f5c-9f94-aa91f7fc273b,CNN_20170928T102949.conll.annot,28,3 4 5 6,CNN,health care providers statewide,5 - The source is fully reliable,"",VPA49GVE9GAV,5 - The source is fully reliable,"",K4GKD97M6XT4,5 - The source is fully reliable,"",QEZAEMV2WF9D,4 - The source is somewhat reliable,"",VKJ2WV7P7ZTA,3 - The source is potentially reliable,"",NFN2M74RPJ2Q,5 - The source is fully reliable,"",MDJFDCCJ3JMA,4 - The source is somewhat reliable,"",XJKGQQWFXKTX,5 - The source is fully reliable,"",DQF4H44Q9Y7G,4 - The source is somewhat reliable,"",TC6999WXZFAN,5 - The source is fully reliable,"",VHYWA473JMK3
9005df96-939e-4ec5-9c28-ce88be32b772,Child-Health-Safety_20170626T115833.conll.annot,100,56 57 58 59 60 61 62 63 64 65 66,________________Child Health Safety_________________,"[ 10 times overdiagnosed , CDR Weekly , PHLS 12:26 ]",3 - The source is potentially reliable,"",AH74XWK3GPFR,2 - The source is somewhat unreliable,"",K4GKD97M6XT4,2 - The source is somewhat unreliable,"",3MEG6THYHV69,I don't know.,"",QEZAEMV2WF9D,3 - The source is potentially reliable,"",VKJ2WV7P7ZTA,4 - The source is somewhat reliable,"",NFN2M74RPJ2Q,4 - The source is somewhat reliable,"",MDJFDCCJ3JMA,I don't know.,"",XJKGQQWFXKTX,I don't know.,"",TC6999WXZFAN,3 - The source is potentially reliable,"",D69JPMAFP9GP
999c9311-7a30-42d9-861e-7bac738db793,fodors-com_20161027T194550.conll.annot,72,29 30 31,www.fodors.com,' easytraveler ',3 - The source is potentially reliable,"",AH74XWK3GPFR,4 - The source is somewhat reliable,"",APKAYMEPJ3TR,3 - The source is potentially reliable,"",VPA49GVE9GAV,2 - The source is somewhat unreliable,"",3MEG6THYHV69,4 - The source is somewhat reliable,"",QEZAEMV2WF9D,4 - The source is somewhat reliable,"",K4GKD97M6XT4,3 - The source is potentially reliable,"",VKJ2WV7P7ZTA,3 - The source is potentially reliable,"",XJKGQQWFXKTX,I don't know.,"",TC6999WXZFAN,3 - The source is potentially reliable,"",DQF4H44Q9Y7G
6f31946c-5dad-458d-8602-369af4ed263f,NaturalNews_20170707T040258.conll.annot,52,8 9,NaturalNews,many people,2 - The source is somewhat unreliable,"",HJGTECR3QR7R,1 - The source is totally unreliable,"",MQCV6WZGCDX4,2 - The source is somewhat unreliable,"",HJQ7NZ6P7XYW,4 - The source is somewhat reliable,"",EN6ADV6KQJXP,2 - The source is somewhat unreliable,"",K4GKD97M6XT4,1 - The source is totally unreliable,"",AH74XWK3GPFR,2 - The source is somewhat unreliable,"",APKAYMEPJ3TR,2 - The source is somewhat unreliable,"",3MEG6THYHV69,2 - The source is somewhat unreliable,"",VKJ2WV7P7ZTA,2 - The source is somewhat unreliable,"",TC6999WXZFAN
2bdcfa6b-1e54-41fd-95f6-c15b2eb14a9e,thinktwice-com_20170627T225319.conll.annot,36,1 2 3,www.thinktwice.com,The medical community,3 - The source is potentially reliable,"",Z6J69GNZYEXY,4 - The source is somewhat reliable,"",NZ94FAVGWEPR,3 - The source is potentially reliable,"",76VNAHQ9VAC3,2 - The source is somewhat unreliable,"",64AFFXCKWR7N,2 - The source is somewhat unreliable,"",Q32F23EXZVKA,1 - The source is totally unreliable,"",Z99F437AMJC2,1 - The source is totally unreliable,"",2VHW4RE6AKTN,3 - The source is potentially reliable,"",MQCV6WZGCDX4,4 - The source is somewhat reliable,"",EN6ADV6KQJXP,1 - The source is totally unreliable,"",XJKGQQWFXKTX
68edd02d-f0aa-4a70-b490-4eec745d86b3,en-wikipedia-org_20170519T045515.conll.annot,35,1 2,en.wikipedia.org,Its authors,3 - The source is potentially reliable,"",Z6J69GNZYEXY,3 - The source is potentially reliable,"",NZ94FAVGWEPR,2 - The source is somewhat unreliable,"",76VNAHQ9VAC3,1 - The source is totally unreliable,"",Q32F23EXZVKA,3 - The source is potentially reliable,"",2VHW4RE6AKTN,3 - The source is potentially reliable,"",MQCV6WZGCDX4,4 - The source is somewhat reliable,"",EN6ADV6KQJXP,4 - The source is somewhat reliable,"",HJQ7NZ6P7XYW,3 - The source is potentially reliable,"",APKAYMEPJ3TR,3 - The source is potentially reliable,"",MDJFDCCJ3JMA
82628277-5096-45da-8b42-678c77b715da,reasonable-hank_20170912T094538.conll.annot,27,595,reasonable hank,Wakefield,2 - The source is somewhat unreliable,"",HJGTECR3QR7R,I don't know.,"",HJQ7NZ6P7XYW,1 - The source is totally unreliable,"",EN6ADV6KQJXP,1 - The source is totally unreliable,"",VPA49GVE9GAV,3 - The source is potentially reliable,"",TZF9ZHYFXAXZ,2 - The source is somewhat unreliable,"",AH74XWK3GPFR,2 - The source is somewhat unreliable,"",APKAYMEPJ3TR,5 - The source is fully reliable,"",K4GKD97M6XT4,3 - The source is potentially reliable,"",QEZAEMV2WF9D,2 - The source is somewhat unreliable,"",MDJFDCCJ3JMA
884314e8-73be-4301-a5d6-0a417c8c0419,immunise-health-gov-au_20170626T104650.conll.annot,205,47 48 49 50 51 52 53 54 55 56,www.immunise.health.gov.au,The World Health Organization Global Advisory Committee on Vaccine Safety,4 - The source is somewhat reliable,"",HJQ7NZ6P7XYW,5 - The source is fully reliable,"",AH74XWK3GPFR,5 - The source is fully reliable,"",APKAYMEPJ3TR,5 - The source is fully reliable,"",TZF9ZHYFXAXZ,5 - The source is fully reliable,"",VPA49GVE9GAV,5 - The source is fully reliable,"",QEZAEMV2WF9D,5 - The source is fully reliable,"",3MEG6THYHV69,5 - The source is fully reliable,"",NFN2M74RPJ2Q,1 - The source is totally unreliable,"",VKJ2WV7P7ZTA,5 - The source is fully reliable,"",MDJFDCCJ3JMA
4498006f-8e0b-4101-8a3d-196403dcf605,en-wikipedia-org_20170615T120212.conll.annot,118,13 14 15 16,en.wikipedia.org,most public health officials,3 - The source is potentially reliable,"",Z6J69GNZYEXY,4 - The source is somewhat reliable,"",NZ94FAVGWEPR,4 - The source is somewhat reliable,"",76VNAHQ9VAC3,4 - The source is somewhat reliable,"",PMHQP37NEY6W,4 - The source is somewhat reliable,"",Z99F437AMJC2,2 - The source is somewhat unreliable,"",2VHW4RE6AKTN,4 - The source is somewhat reliable,"",HJGTECR3QR7R,4 - The source is somewhat reliable,"",64AFFXCKWR7N,3 - The source is potentially reliable,"",HJQ7NZ6P7XYW,4 - The source is somewhat reliable,"",VKJ2WV7P7ZTA
2c639e8b-eab5-42de-b6ad-2ea3d8f0e53b,VaxTruth-org_20170606T065016.conll.annot,84,1 2 3 4 5 6 7 8 9,VaxTruth.org,Measles outbreak in a fully immunized secondary-school population .,2 - The source is somewhat unreliable,"",Z6J69GNZYEXY,3 - The source is potentially reliable,"",NZ94FAVGWEPR,2 - The source is somewhat unreliable,"",PMHQP37NEY6W,2 - The source is somewhat unreliable,"",2VHW4RE6AKTN,2 - The source is somewhat unreliable,"",64AFFXCKWR7N,5 - The source is fully reliable,"",EN6ADV6KQJXP,2 - The source is somewhat unreliable,"",HJQ7NZ6P7XYW,3 - The source is potentially reliable,"",APKAYMEPJ3TR,1 - The source is totally unreliable,"",3MEG6THYHV69,1 - The source is totally unreliable,"",VKJ2WV7P7ZTA
7aeb6548-fec2-4f53-bcc8-5e68f0e34215,mirror_20170321T120113.conll.annot,14,1 2 3 4 5 6 7 8,mirror,The US Centres for Disease Control and Prevention,4 - The source is somewhat reliable,"",Z6J69GNZYEXY,2 - The source is somewhat unreliable,"",Z99F437AMJC2,5 - The source is fully reliable,"",MQCV6WZGCDX4,3 - The source is potentially reliable,"",EN6ADV6KQJXP,3 - The source is potentially reliable,"",HJQ7NZ6P7XYW,4 - The source is somewhat reliable,"",AH74XWK3GPFR,4 - The source is somewhat reliable,"",TZF9ZHYFXAXZ,3 - The source is potentially reliable,"",APKAYMEPJ3TR,5 - The source is fully reliable,"",3MEG6THYHV69,2 - The source is somewhat unreliable,"",QEZAEMV2WF9D
3593d15e-b884-4f8b-be50-108122d80acb,NaturalNews_20170704T132504.conll.annot,80,4 5 6 7 8 9 10 11 12 13 14 15 16 17,NaturalNews,"Dr. Charles Arntzen , head of The Biodesign Institute for Infectious Diseases and Vaccinology",3 - The source is potentially reliable,"",Z6J69GNZYEXY,5 - The source is fully reliable,"",76VNAHQ9VAC3,4 - The source is somewhat reliable,"",PMHQP37NEY6W,1 - The source is totally unreliable,"",2VHW4RE6AKTN,3 - The source is potentially reliable,"",Q32F23EXZVKA,1 - The source is totally unreliable,"",Z99F437AMJC2,5 - The source is fully reliable,"",HJGTECR3QR7R,5 - The source is fully reliable,"",MQCV6WZGCDX4,4 - The source is somewhat reliable,"",HJQ7NZ6P7XYW,3 - The source is potentially reliable,"",3MEG6THYHV69
76ffa423-e223-42fe-9546-4bfcb79c866a,NPR-org_20171001T221620.conll.annot,41,3 4 5 6 7 8,NPR.org,the Red Cross in South Sudan,5 - The source is fully reliable,"",NZ94FAVGWEPR,5 - The source is fully reliable,"",PMHQP37NEY6W,5 - The source is fully reliable,"",Q32F23EXZVKA,5 - The source is fully reliable,"",2VHW4RE6AKTN,5 - The source is fully reliable,"",VPA49GVE9GAV,5 - The source is fully reliable,"",AH74XWK3GPFR,5 - The source is fully reliable,"",TZF9ZHYFXAXZ,4 - The source is somewhat reliable,"",APKAYMEPJ3TR,5 - The source is fully reliable,"",K4GKD97M6XT4,5 - The source is fully reliable,"",QEZAEMV2WF9D
