number_of_responses,task_id,file_id,sentence,tokens_id,publisher,source,What is your perceived reliability of this source of information?,Agreement %: What is your perceived reliability of this source of information?,Optional Comments:
7,fd587e51-cffa-4b17-a0fa-4d9b1fcf0c39,thinktwice-com_20170627T191857.conll.annot,420,13,www.thinktwice.com,authorities,4 - The source is somewhat reliable,0.29,""
7,d47b15b8-032f-432c-9bc8-6c7c1cb05a43,nytimes-com_20170309T113837.conll.annot,83,40 41 42 43,www.nytimes.com,health and school officials,3 - The source is potentially reliable,0.43,""
7,fde35910-cf2a-47dd-a1cf-1677ac58cd7f,Science-News_20170517T164904.conll.annot,138,11 12 13 14 15 16 17,Science News,"Margaret Chan , WHO ’s director-general ,",5 - The source is fully reliable,0.71,""
7,fd4e7d10-ea88-440c-8d30-7f7d386803aa,State-of-Health_20160131T151029.conll.annot,22,1,State of Health,Majumder,3 - The source is potentially reliable,0.43,""
7,f77caf56-7e9b-4712-8ee9-aa9b527fc54b,fodors-com_20161027T194550.conll.annot,15,1 2,www.fodors.com,Your doctor,3 - The source is potentially reliable,0.57,""
7,fb5020f1-5176-4e27-9fa1-6505f558ff0a,WebMD_20160925T143503.conll.annot,14,1,WebMD,Offit,I don't know.,0.29,""
7,fc4bfadb-2f28-4cac-a89e-7f1512ef32ff,avn-org-au_20170316T033821.conll.annot,99,24,avn.org.au,Dunbar,I don't know.,0.29,""
7,f4d91388-4c46-46e6-9bc8-c042ab004b7f,Stop-Mandatory-Vaccination_20161120T082441.conll.annot,125,5,Stop Mandatory Vaccination,doctors,1 - The source is totally unreliable,0.43,""
7,faa987ee-ad30-4fb3-9aaa-bf7b1fa136b5,KXAN-com_20171002T213140.conll.annot,17,1 2 3 4 5 6 7 8 9 10 11 12 13,KXAN.com,"Jenna Mize , associate veterinarian at the Firehouse Animal Center in Austin ,",5 - The source is fully reliable,0.71,""
7,f26b5014-5b56-4dcd-a57a-0a28fc8baf7d,reasonable-hank_20170912T094538.conll.annot,27,357,reasonable hank,Tommey,2 - The source is somewhat unreliable,0.43,""
7,f991af84-7d68-4b81-b965-81b0c5365bb6,Stop-Mandatory-Vaccination_20170324T022210.conll.annot,155,1 2,Stop Mandatory Vaccination,Scarlet Howell,1 - The source is totally unreliable,0.43,""
7,f7c5433d-932f-48c9-afd2-5543718466fe,avn-org-au_20170316T033821.conll.annot,99,24,avn.org.au,Dunbar,I don't know.,0.29,""
7,f2215939-ab50-4d75-83bd-7c103e685568,21st-Century-Wire_20170627T181355.conll.annot,52,24 25 26 27 28,21st Century Wire,the media ’s hysterical storyline,1 - The source is totally unreliable,0.86,""
7,f6c24134-cb83-4f7a-bda8-ca221a65f73f,cid-oxfordjournals-org_20161019T051428.conll.annot,130,33 34 35 36 37 38 39 40 41,cid.oxfordjournals.org,"( Michael Bruce , CDC , unpublished data )",4 - The source is somewhat reliable,0.57,""
7,f924819d-08df-49c1-823d-9afc39d6a84b,Kelly-Brogan-MD_20170813T110455.conll.annot,19,1 2 3 4 5 6 7 8,Kelly Brogan MD,Assessments of prevalence pre and post vaccine introduction,4 - The source is somewhat reliable,0.43,""
7,fa2ae5ba-b716-4c16-83e5-80579933ebaf,AGE-OF-AUTISM_20170620T044415.conll.annot,268,16 17,AGE OF AUTISM,the complaint,1 - The source is totally unreliable,0.43,""
7,ef5fde58-e1d7-435a-b546-3ebb7b612427,International-Medical-Council-on-Vaccination_20170701T172125.conll.annot,61,1 2 3 4 5 6,International Medical Council on Vaccination,Vikari et al. ( 1979 .,3 - The source is potentially reliable,0.29,""
7,f273b00b-7ef7-4281-9700-f60a4910a264,Banning-Beaumont-CA-Patch_20150812T082915.conll.annot,28,2 3 4 5 6 7 8 9,Banning-Beaumont CA Patch,City News Service and Patch Editor Renee Schiavone,4 - The source is somewhat reliable,0.43,""
7,f86e71b0-8487-4781-a2cc-f65ff8f1c0e7,fodors-com_20161027T194550.conll.annot,8,20 21 22 23 24,www.fodors.com,their ' travel clinic ',3 - The source is potentially reliable,0.43,""
7,f4213540-ac9d-493f-9268-ef6b81ef42b5,State-of-Health_20160131T151029.conll.annot,19,21 22 23 24 25 26,State of Health,Boston Children ’s Hospital ’s Majumder,4 - The source is somewhat reliable,0.43,""
7,f24d1de4-83ed-4b60-977d-f8afcfba1be0,news-nationalgeographic-com_20161231T161535.conll.annot,16,9,news.nationalgeographic.com,officials,3 - The source is potentially reliable,0.43,""
7,f349c69c-95c6-4620-b981-257792499491,greenmedinfo-com_20170703T045312.conll.annot,21,1 2 3,www.greenmedinfo.com,This case report,3 - The source is potentially reliable,0.71,""
7,f34e03c5-7033-48ae-992d-8410f97d6d30,WIRED_20170525T041726.conll.annot,29,10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,WIRED,"Cristina Cassetti , program officer at the National Institute of Allergy and Infectious Diseases ,",5 - The source is fully reliable,0.71,""
7,f2924a1f-cd94-4e3f-b267-270f472c6c84,NPR-org_20170313T074645.conll.annot,2,18 19 20,NPR.org,state health officials,4 - The source is somewhat reliable,0.57,""
7,f00a0265-1f76-4d07-ac94-255c274c403a,Science-News_20170517T164904.conll.annot,68,12,Science News,Durbin,2 - The source is somewhat unreliable,0.29,""
7,f220fcaa-e9ce-458d-816f-efa49b06af26,en-wikipedia-org_20170412T054820.conll.annot,35,4 5 6 7,en.wikipedia.org,At least one study,1 - The source is totally unreliable,0.43,""
7,ee037310-4341-4f2e-99a2-5bca7b0f1626,greenmedinfo-com_20170703T045312.conll.annot,21,1 2 3,www.greenmedinfo.com,This case report,3 - The source is potentially reliable,0.57,""
7,ee7c110f-9efb-4db3-880a-7309303413ef,the-Guardian_20170928T060038.conll.annot,12,9 10 11 12,the Guardian,political and medical experts,4 - The source is somewhat reliable,0.43,""
7,eabaecc9-aad5-4346-b2bd-a61fcac9450c,avn-org-au_20170316T033821.conll.annot,96,1 2 3 4 5 6,avn.org.au,The CDC and both drug companies,4 - The source is somewhat reliable,0.43,""
7,ea852833-a87f-41c3-bad5-3eb5caa3f4c2,the-Guardian_20170928T060038.conll.annot,22,10 11,the Guardian,some parents,2 - The source is somewhat unreliable,0.43,""
7,edeed805-5229-4de3-8cbc-319f74eafed0,Science-|-AAAS_20170707T030050.conll.annot,23,2 3 4,Science | AAAS,public health officials,4 - The source is somewhat reliable,0.43,""
7,ee18ab95-86f4-4ce2-8d3a-eb09bdecaab8,CNN_20170808T234859.conll.annot,17,1 2,CNN,Vaccine experts,4 - The source is somewhat reliable,0.43,""
7,ee9f0f0c-0e22-4a5b-a587-76f48ab51fe9,NaturalNews_20170706T012448.conll.annot,7,1 2 3 4 5,NaturalNews,The esteemed Johns Hopkins Hospital,4 - The source is somewhat reliable,0.71,""
7,ed833bb2-8bd5-44ff-a881-8199c4381c75,Atlas-Monitor_20160703T084322.conll.annot,7,17 18 19 20,Atlas Monitor,the mainstream media who,3 - The source is potentially reliable,0.57,""
7,ed0a14cd-0a4a-4b11-8f58-41476cc0022b,immunize-org_20161124T165410.conll.annot,155,1,www.immunize.org,ACIP,5 - The source is fully reliable,0.43,""
7,eb2bd2f7-23ae-4299-aaaf-ab4c791e9dcc,PBS-NewsHour_20161202T134302.conll.annot,40,7 8,PBS NewsHour,his mother,2 - The source is somewhat unreliable,0.29,""
7,eaeeb7a4-72be-4a93-b159-18ea9ca6e9cc,Washington-Post_20170826T112301.conll.annot,38,3 4,Washington Post,immunization advocates,3 - The source is potentially reliable,0.43,""
7,ed293e19-7973-4985-b76a-bec7a476d265,Stop-Mandatory-Vaccination_20170324T022210.conll.annot,101,1 2,Stop Mandatory Vaccination,Beth Noelle,2 - The source is somewhat unreliable,0.43,""
7,ebf4a8d9-0941-48e5-b60b-ce4a8ca9d833,National-Vaccine-Information-Center-(NVIC)_20170701T193111.conll.annot,37,1 2 3,National Vaccine Information Center (NVIC),Some observational studies,3 - The source is potentially reliable,0.57,""
7,e8adaffe-439d-43d0-803e-590e4a3829e9,thinktwice-com_20170627T191857.conll.annot,12,1 2 3 4,www.thinktwice.com,Most doctors I asked,2 - The source is somewhat unreliable,0.57,""
7,eb83a33e-9839-4c4c-93fe-bdd2d7c24b2c,vk-ovg-ox-ac-uk_20170821T010049.conll.annot,38,1,vk.ovg.ox.ac.uk,Sister,1 - The source is totally unreliable,0.29,""
7,ea0e79d1-9174-47ff-8c64-bfc1d0a61b23,nhs-uk_20170705T230324.conll.annot,12,1 2 3 4 5 6 7 8,www.nhs.uk,Anyone vaccinated by their own occupational health service,3 - The source is potentially reliable,0.57,""
7,e9ce80aa-c0c0-429a-b100-3124ce7b9052,WebMD_20161211T172512.conll.annot,41,22,WebMD,Poland,4 - The source is somewhat reliable,0.57,""
7,e9cb35c8-bc68-4160-b0ec-fdd12bf340ae,Stop-Mandatory-Vaccination_20161120T082441.conll.annot,11,18 19 20 21,Stop Mandatory Vaccination,scientists at the FDA,3 - The source is potentially reliable,0.57,""
7,e8949d7d-f029-4329-8973-bc9f5063ec81,vk-ovg-ox-ac-uk_20170912T071447.conll.annot,11,3,vk.ovg.ox.ac.uk,experts,3 - The source is potentially reliable,0.57,""
7,dcbf468f-235f-4a7c-a870-3a2ac522359a,National-Vaccine-Information-Center-(NVIC)_20170701T193111.conll.annot,34,13 14 15 16 17 18 19 20,National Vaccine Information Center (NVIC),Centers for Disease Control ( 2013 ) 36,5 - The source is fully reliable,0.86,""
7,e3cc916b-3af8-4ac8-a5c5-5c3acc5f128f,nhs-uk_20170705T230324.conll.annot,12,1 2 3 4 5 6 7 8,www.nhs.uk,Anyone vaccinated by their own occupational health service,3 - The source is potentially reliable,0.57,""
7,e731cf13-1951-44b2-a369-fdecf0333fde,cid-oxfordjournals-org_20161019T051428.conll.annot,168,48 49 50 51 52 53,cid.oxfordjournals.org,"[ 33 , section 113.6 ]",1 - The source is totally unreliable,0.29,""
7,e312c61c-39b8-41ef-a2e1-4fab7939811b,Science-News_20170517T164904.conll.annot,68,12,Science News,Durbin,3 - The source is potentially reliable,0.43,""
7,e8ff4c4d-da0f-4212-8a31-352cb39511e5,Stop-Mandatory-Vaccination_20170324T022210.conll.annot,139,1 2,Stop Mandatory Vaccination,Cricket Grein,2 - The source is somewhat unreliable,0.57,""
7,e382ce4a-ecec-4f00-b863-a0d591238cca,Backyard-Secret-Exposed_20161021T055227.conll.annot,54,2 3 4 5 6,Backyard Secret Exposed,"Del Bigtree , Producer ,",1 - The source is totally unreliable,0.43,""
7,e4ce9a77-6d84-4b15-8a23-e61ba2019b9e,National-Vaccine-Information-Center-(NVIC)_20170701T193111.conll.annot,37,1 2 3,National Vaccine Information Center (NVIC),Some observational studies,3 - The source is potentially reliable,0.71,""
7,d599e6e9-360c-4644-8343-c14879d5664a,Science-|-AAAS_20170707T030050.conll.annot,23,2 3 4,Science | AAAS,public health officials,5 - The source is fully reliable,0.57,""
7,dd1d92f8-db85-461e-9b14-4f0e6915762e,The-Independent_20170915T154519.conll.annot,21,14 15,The Independent,the country,2 - The source is somewhat unreliable,0.43,""
7,e1713967-c337-4701-8fa2-24525a730ca1,netmums-com_20160105T011148.conll.annot,108,22 23,www.netmums.com,the article,1 - The source is totally unreliable,0.43,""
7,db57a409-762e-4955-a69d-bc2a9e60c839,thinktwice-com_20170627T225319.conll.annot,150,8 9 10 11 12 13 14,www.thinktwice.com,the nursing school where I am enrolled,2 - The source is somewhat unreliable,0.43,""
7,d99f4390-1d79-49f4-9c79-1405371d8b79,healthtalk-org_20161031T152854.conll.annot,15,1 2 3 4 5 6 7 8,www.healthtalk.org,A small number of parents that we interviewed,3 - The source is potentially reliable,0.71,""
7,d7c60af0-6ce0-4360-9239-89c5f6658a6e,State-of-Health_20160131T151029.conll.annot,19,21 22 23 24 25 26,State of Health,Boston Children ’s Hospital ’s Majumder,5 - The source is fully reliable,0.29,""
7,bf086332-a4a6-4efc-a81d-06769582069b,thinktwice-com_20170627T191857.conll.annot,123,2 3 4 5 6 7 8 9,www.thinktwice.com,the NY Medical Examiner ( Dr. Persechino ),5 - The source is fully reliable,0.57,""
7,e06a5ccf-7913-4a58-8492-bcaf1c03939d,Stop-Mandatory-Vaccination_20161120T082441.conll.annot,195,5 6 7 8 9 10 11 12 13 14 15 16,Stop Mandatory Vaccination,"Helen Ratajczak , a former senior scientist at a pharmaceutical firm ,",5 - The source is fully reliable,0.57,""
7,e09f543b-6d29-4f64-b80a-a605568fbdcd,Infowars_20170416T154207.conll.annot,5,1 2,Infowars,The report,1 - The source is totally unreliable,0.71,""
7,dcebf14f-e199-44a4-8ee0-148c957c50f8,The-People's-Chemist_20170219T051704.conll.annot,89,15 16 17,The People's Chemist,the pharmaceutical companies,2 - The source is somewhat unreliable,0.29,""
7,d9d4a6fc-3e92-4132-965d-29f736c5ea1d,fodors-com_20161027T194550.conll.annot,265,1,www.fodors.com,easytraveler,1 - The source is totally unreliable,0.43,""
7,d9e8abef-6340-4e75-95c4-d2fa99823c8d,PublicHealth-org_20170623T200727.conll.annot,11,1,PublicHealth.org,Research,5 - The source is fully reliable,0.43,""
7,d21299ca-9461-4cff-9e8d-6b62e54f9a96,Nature-News-&-Comment_20170321T211158.conll.annot,36,1 2 3 4 5,Nature News & Comment,The American Academy of Pediatrics,4 - The source is somewhat reliable,0.43,""
7,d65488d3-287e-4fe4-b36f-36699b5fed73,nhs-uk_20170705T230324.conll.annot,12,1 2 3 4 5 6 7 8,www.nhs.uk,Anyone vaccinated by their own occupational health service,3 - The source is potentially reliable,0.43,""
7,d505745e-611a-4cf7-b2d5-061bc5508043,Live-Science_20170315T223305.conll.annot,10,29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51,Live Science,"Reich , who is the author of \"" Calling the Shots : Why Parents Reject Vaccines \"" ( NYU Press , 2016 )",4 - The source is somewhat reliable,0.43,""
7,d8fd8b04-be6e-450d-9712-9bb89f206406,Backyard-Secret-Exposed_20161021T055227.conll.annot,54,2 3 4 5 6,Backyard Secret Exposed,"Del Bigtree , Producer ,",3 - The source is potentially reliable,0.43,""
7,d9032e49-cc84-4827-834e-df63172f2bcc,vk-ovg-ox-ac-uk_20170821T010049.conll.annot,38,1,vk.ovg.ox.ac.uk,Sister,1 - The source is totally unreliable,0.29,""
7,d634a759-9459-41ca-9d5f-8af3d42d9d1f,vaccine-injury-info_20170922T015859.conll.annot,47,2 3 4 5 6 7,vaccine-injury.info,"Dr Harris L Coulter , PhD",5 - The source is fully reliable,0.43,""
7,d435f4a3-8724-488c-8843-45078128d950,greenmedinfo-com_20170702T213636.conll.annot,24,18 19 20 21,www.greenmedinfo.com,a recent Chinese study,3 - The source is potentially reliable,0.71,""
7,d58930e9-25f2-4a53-913e-051e7e95c4cd,WIRED_20170525T041726.conll.annot,2,5 6 7 8 9 10 11 12 13,WIRED,most of the people stricken with Mickey Mouse measles,2 - The source is somewhat unreliable,0.29,""
7,d3f8374a-1d0e-403d-b04c-414e9d531afa,PublicHealth-org_20170623T200727.conll.annot,11,1,PublicHealth.org,Research,3 - The source is potentially reliable,0.43,""
7,d5df4359-f089-4ab6-be7c-6c432de010c9,greenmedinfo-com_20170703T045312.conll.annot,21,1 2 3,www.greenmedinfo.com,This case report,3 - The source is potentially reliable,0.57,""
7,d3a09631-b98e-4313-a25c-5412b1809d82,AGE-OF-AUTISM_20170620T044415.conll.annot,268,16 17,AGE OF AUTISM,the complaint,2 - The source is somewhat unreliable,0.43,""
7,cfa01fbd-c4e2-4f1d-885c-a9d3b5cf7491,KXAN-com_20171002T213140.conll.annot,17,1 2 3 4 5 6 7 8 9 10 11 12 13,KXAN.com,"Jenna Mize , associate veterinarian at the Firehouse Animal Center in Austin ,",4 - The source is somewhat reliable,0.43,""
7,d2400b79-e0e3-4edc-bdb3-ee6f3e4e8a27,NaturalNews_20170706T012448.conll.annot,7,1 2 3 4 5,NaturalNews,The esteemed Johns Hopkins Hospital,5 - The source is fully reliable,0.57,""
7,d3a33915-9a15-4721-85f3-197d633f8ea3,dogsnaturallymagazine-com_20170804T052804.conll.annot,15,3 4,www.dogsnaturallymagazine.com,your veterinarian,3 - The source is potentially reliable,0.57,""
7,d0a255fe-0a44-4a5a-a121-30b882c61ef5,Nature-News-&-Comment_20170321T211158.conll.annot,42,1 2,Nature News & Comment,Kennedy ’s,4 - The source is somewhat reliable,0.43,""
7,d1d390ca-35b2-4667-84f0-55630848eeae,Child-Health-Safety_20170626T115833.conll.annot,13,2 3 4 5 6,________________Child Health Safety_________________,two official sources of data,3 - The source is potentially reliable,0.71,""
7,d148ed71-5fb2-4033-8682-03686cedaf42,news-nationalgeographic-com_20161231T161535.conll.annot,16,9,news.nationalgeographic.com,officials,3 - The source is potentially reliable,0.43,""
7,cbecc3bd-a615-4894-86cf-db8e0fee2ab7,VaxTruth-org_20170606T065016.conll.annot,94,4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22,VaxTruth.org,"MMWR Measles in an Immunized School-Aged Population — New Mexico Vol 34 , No 04 ; 052 02/01 / 1985",4 - The source is somewhat reliable,0.57,""
7,d19e8866-5809-4a62-876b-291ff6ce1bb6,Science-News_20170517T164904.conll.annot,68,12,Science News,Durbin,3 - The source is potentially reliable,0.43,""
7,d0d0f831-33f4-459f-a7ca-6559aa73eeb4,Stop-Mandatory-Vaccination_20170324T022210.conll.annot,116,1 2,Stop Mandatory Vaccination,The doctors,3 - The source is potentially reliable,0.57,""
7,d21a8881-e755-4476-8799-1776e23c32db,cid-oxfordjournals-org_20161019T051428.conll.annot,168,48 49 50 51 52 53,cid.oxfordjournals.org,"[ 33 , section 113.6 ]",3 - The source is potentially reliable,0.43,""
7,cc9fe16e-62a1-41ed-bda2-26d1e06ab92f,thinktwice-com_20170627T191857.conll.annot,420,13,www.thinktwice.com,authorities,3 - The source is potentially reliable,0.71,""
7,d187e037-14e8-4e95-b9c7-f10e6ef4b81b,jabs-org-uk_20160617T081707.conll.annot,8,1,www.jabs.org.uk,JABS,3 - The source is potentially reliable,0.43,""
7,c9cc9bfb-4e69-4166-8ab9-f358dcbbee07,Stop-Mandatory-Vaccination_20161120T082441.conll.annot,11,18 19 20 21,Stop Mandatory Vaccination,scientists at the FDA,4 - The source is somewhat reliable,0.43,""
7,d0a94930-4a91-4bc9-a32a-e343a541ca59,The-People's-Chemist_20170219T051704.conll.annot,89,15 16 17,The People's Chemist,the pharmaceutical companies,4 - The source is somewhat reliable,0.29,""
7,cbc061ce-b101-4f61-9c06-44cdb8ecffba,fitfortravel-scot-nhs-uk_20160608T202918.conll.annot,39,17,www.fitfortravel.scot.nhs.uk,evidence,3 - The source is potentially reliable,0.86,""
7,cc8c5c86-1a82-42a6-8a88-8c535290735c,LifeSiteNews_20170611T045238.conll.annot,38,1,LifeSiteNews,Ngare,3 - The source is potentially reliable,0.57,""
7,cf1d0f98-974e-4602-bb86-37fdce8cfbd1,cid-oxfordjournals-org_20161019T051428.conll.annot,168,48 49 50 51 52 53,cid.oxfordjournals.org,"[ 33 , section 113.6 ]",5 - The source is fully reliable,0.43,""
7,d020bcb7-eb52-40c0-877f-ba309c6eb70e,21st-Century-Wire_20170627T181355.conll.annot,52,24 25 26 27 28,21st Century Wire,the media ’s hysterical storyline,1 - The source is totally unreliable,0.71,""
7,c9dd0dd3-f93f-47c7-b4f8-89cd97c9cdb1,Live-Science_20170315T223305.conll.annot,10,29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51,Live Science,"Reich , who is the author of \"" Calling the Shots : Why Parents Reject Vaccines \"" ( NYU Press , 2016 )",4 - The source is somewhat reliable,0.57,""
7,ce777c63-faa5-4f06-b77d-ef88f6c663b7,cid-oxfordjournals-org_20161019T051428.conll.annot,168,48 49 50 51 52 53,cid.oxfordjournals.org,"[ 33 , section 113.6 ]",5 - The source is fully reliable,0.29,""
7,cb6b2445-5a76-423c-95b7-6597d2507503,greenmedinfo-com_20170702T213636.conll.annot,14,1 2,www.greenmedinfo.com,The researchers,3 - The source is potentially reliable,0.71,""
7,c397f6c7-a89e-4243-ac71-8a81ef02fadf,greenmedinfo-com_20170702T213636.conll.annot,14,1 2,www.greenmedinfo.com,The researchers,3 - The source is potentially reliable,0.71,""
7,cb2a6d0d-2820-4845-8c7a-dd38d8180d62,Variety_20170614T212541.conll.annot,26,10,Variety,researchers,3 - The source is potentially reliable,0.57,""
7,c8990366-6c43-4d37-afb5-ebe3da9fcad0,tripadvisor-com_20150223T054324.conll.annot,78,2,www.tripadvisor.com,anybody,1 - The source is totally unreliable,0.57,""
7,c8d77a3c-ab57-4f93-b7dd-6e32168c9896,blogs-cdc-gov_20170616T233823.conll.annot,49,6 7,blogs.cdc.gov,my kids,1 - The source is totally unreliable,0.43,""
7,ca4e7cb9-4d26-4979-b34b-7b0969b41559,avn-org-au_20170316T033821.conll.annot,96,1 2 3 4 5 6,avn.org.au,The CDC and both drug companies,4 - The source is somewhat reliable,0.57,""
7,c8dc4ad0-c505-4dc8-9411-8e92e55f2612,ncbi-nlm-nih-gov_20160228T014103.conll.annot,6,1 2 3 4 5 6 7 8 9 10 11 12,www.ncbi.nlm.nih.gov,Serologic studies in 2 dogs and virus isolation from the 3rd dog,4 - The source is somewhat reliable,0.43,""
7,cb2d9fc1-9aca-4aa6-92b1-e31d21ea2512,netmums-com_20160105T011148.conll.annot,108,22 23,www.netmums.com,the article,2 - The source is somewhat unreliable,0.43,""
7,c8ffd18f-e056-461c-9f64-94ca33ff0d05,NaturalNews_20170706T012448.conll.annot,7,1 2 3 4 5,NaturalNews,The esteemed Johns Hopkins Hospital,5 - The source is fully reliable,0.57,""
7,c51fcb2a-28b5-4704-bfae-fae1e15d36b5,Live-Science_20170315T223305.conll.annot,10,29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51,Live Science,"Reich , who is the author of \"" Calling the Shots : Why Parents Reject Vaccines \"" ( NYU Press , 2016 )",4 - The source is somewhat reliable,0.43,""
7,c1b762b7-2767-482e-8e4a-3273467b888f,The-People's-Chemist_20170219T051704.conll.annot,89,15 16 17,The People's Chemist,the pharmaceutical companies,2 - The source is somewhat unreliable,0.43,""
7,c21c2dfd-2360-4088-915c-d7c9911a61b0,Stop-Mandatory-Vaccination_20170324T022210.conll.annot,116,1 2,Stop Mandatory Vaccination,The doctors,3 - The source is potentially reliable,0.86,""
7,bff4e9c9-3989-4c82-a9a1-7f501438ce9c,Stop-Mandatory-Vaccination_20170324T022210.conll.annot,272,1 2,Stop Mandatory Vaccination,Stef Miharas,1 - The source is totally unreliable,0.57,""
7,c59835da-53fd-4666-9dcb-d26ec0f547a4,LifeSiteNews_20170611T045238.conll.annot,5,1 2 3,LifeSiteNews,Priests throughout Kenya,3 - The source is potentially reliable,0.43,""
7,c7976e49-c1bd-4ef5-a7a6-26ab6ef3ef33,fitfortravel-scot-nhs-uk_20160608T202918.conll.annot,39,17,www.fitfortravel.scot.nhs.uk,evidence,3 - The source is potentially reliable,0.71,""
7,c6dfdf35-b947-45f0-8787-c4ddea25d442,Backyard-Secret-Exposed_20161021T055227.conll.annot,54,2 3 4 5 6,Backyard Secret Exposed,"Del Bigtree , Producer ,",1 - The source is totally unreliable,0.43,""
7,c8cc2632-cb99-414a-8d47-b87509baa84f,cdc-gov_20170614T145809.conll.annot,26,13 14 15 16 17,www.cdc.gov,29 ( 43 % ),I don't know.,0.29,""
7,c682dcd2-af1e-401f-ad8a-2b0913ab64f9,WebMD_20161211T172512.conll.annot,32,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,WebMD,"Gregory Poland , MD , director of the Mayo Clinic 's Vaccine Research Group ,",5 - The source is fully reliable,0.71,""
7,a2ddaad9-f300-4972-b0a9-429f62901359,Stop-Mandatory-Vaccination_20170324T022210.conll.annot,143,1 2,Stop Mandatory Vaccination,Cynthia Wolff,2 - The source is somewhat unreliable,0.43,""
7,c6129be4-01c7-485e-8337-f733110e2bdc,Banning-Beaumont-CA-Patch_20150812T082915.conll.annot,28,2 3 4 5 6 7 8 9,Banning-Beaumont CA Patch,City News Service and Patch Editor Renee Schiavone,4 - The source is somewhat reliable,0.43,""
7,c27a737b-acca-450b-8f8c-8278695ae7e6,huffingtonpost-com_20170918T110744.conll.annot,1,23 24 25,www.huffingtonpost.com,the Mayo Clinic,5 - The source is fully reliable,0.57,""
7,9b53aec1-5232-42a6-8e51-a3e4be78e17e,reasonable-hank_20170912T094538.conll.annot,15,1,reasonable hank,Wakefield,3 - The source is potentially reliable,0.29,""
7,c35019ca-cbe7-4a63-8165-f380af2624e9,Epilepsy-Foundation_20161027T230500.conll.annot,211,2 3,Epilepsy Foundation,another doctor,3 - The source is potentially reliable,0.71,""
7,c2b5aeae-cbf9-4228-a682-5dbbdd1a70e4,National-Vaccine-Information-Center-(NVIC)_20170701T193111.conll.annot,34,13 14 15 16 17 18 19 20,National Vaccine Information Center (NVIC),Centers for Disease Control ( 2013 ) 36,5 - The source is fully reliable,0.71,""
7,c3e64f1d-a0d4-49eb-b15e-721ba5a09f41,Kelly-Brogan-MD_20170813T110455.conll.annot,19,1 2 3 4 5 6 7 8,Kelly Brogan MD,Assessments of prevalence pre and post vaccine introduction,4 - The source is somewhat reliable,0.43,""
7,c037d8ec-92e5-4951-bc4e-1c47f901cb5f,avn-org-au_20170316T033821.conll.annot,99,24,avn.org.au,Dunbar,3 - The source is potentially reliable,0.43,""
