,task_id,source,ClaimantType
46,3a4633b9-3fc2-4db9-9890-abde5fc23955,Most doctors I spoke to at the time,"        5. collective roles (e..g., ""doctors"")"
47,205f8122-93b4-4f04-b814-aca7456dfbfb,You chess players,"        5. collective roles (e..g., ""doctors"")"
48,0e4b1597-ae97-4780-a384-5728c6ad6870,the 2011 article “ Unanswered Questions from the Vaccine Injury Compensation Program : A Review of Compensated Cases of Vaccine-Induced Brain Injury ”,"        6. inanimate and generic objects (e.g., ""a study"")"
49,12c71e86-2a2c-42d2-9391-aabf21b837fc,"Sally Fallon Morell , president of the Weston A. Price Foundation ( WAPF )","        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
0,f21e122b-2700-40f8-877c-46802484de40,the government,"        6. inanimate and generic objects (e.g., ""a study"")"
1,f9375ed0-0002-45ae-b357-09fbe0ac9e69,Much of the mainstream media,"        6. inanimate and generic objects (e.g., ""a study"")"
2,e60d0364-bf7d-45e9-b67b-ea924e8ae704,City News Service and Patch Editor Renee Schiavone,"        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
3,d37245d4-1546-4bda-bc56-d33133d015e9,political and medical experts,"        5. collective roles (e..g., ""doctors"")"
4,e1fe41c4-d14d-43cf-b92a-bba900e88ee7,Priests throughout Kenya,"        5. collective roles (e..g., ""doctors"")"
5,e9cd9739-7d3e-4938-9f9c-b054a60b4f08,"Dr. Eric Handler , the health officer in Orange County , where 23 of the cases have been reported this year","        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
6,fcceea73-6972-4f47-8895-6ada8b32dbe5,"Your pediatrician and his handy marketing piece , the Vaccine Information Statement ( VIS ) ,","        3. role or profession without further specifications (e.g., ""a doctor"")"
7,ffa87910-146b-4235-92ec-2367e24dd3b5,Many Studies,"        6. inanimate and generic objects (e.g., ""a study"")"
8,fea69816-66e3-4edf-81bd-cc96c8c0e600,The CDC,"        6. inanimate and generic objects (e.g., ""a study"")"
9,fc3fadbe-050a-492b-bc7a-db80102bd1e5,At least one study,"        6. inanimate and generic objects (e.g., ""a study"")"
10,fd587e51-cffa-4b17-a0fa-4d9b1fcf0c39,authorities,"        5. collective roles (e..g., ""doctors"")"
11,d47b15b8-032f-432c-9bc8-6c7c1cb05a43,health and school officials,"        5. collective roles (e..g., ""doctors"")"
12,fde35910-cf2a-47dd-a1cf-1677ac58cd7f,"Margaret Chan , WHO ’s director-general ,","        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
13,fd4e7d10-ea88-440c-8d30-7f7d386803aa,Majumder,"        1. named individuals (e.g., ""Donald Trump"")"
14,f77caf56-7e9b-4712-8ee9-aa9b527fc54b,Your doctor,"        3. role or profession without further specifications (e.g., ""a doctor"")"
15,fb5020f1-5176-4e27-9fa1-6505f558ff0a,Offit,"        1. named individuals (e.g., ""Donald Trump"")"
16,fc4bfadb-2f28-4cac-a89e-7f1512ef32ff,Dunbar,"        1. named individuals (e.g., ""Donald Trump"")"
17,f4d91388-4c46-46e6-9bc8-c042ab004b7f,doctors,"        5. collective roles (e..g., ""doctors"")"
18,faa987ee-ad30-4fb3-9aaa-bf7b1fa136b5,"Jenna Mize , associate veterinarian at the Firehouse Animal Center in Austin ,","        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
19,f26b5014-5b56-4dcd-a57a-0a28fc8baf7d,Tommey,"        1. named individuals (e.g., ""Donald Trump"")"
20,f991af84-7d68-4b81-b965-81b0c5365bb6,Scarlet Howell,"        1. named individuals (e.g., ""Donald Trump"")"
21,f7c5433d-932f-48c9-afd2-5543718466fe,Dunbar,"        1. named individuals (e.g., ""Donald Trump"")"
22,f2215939-ab50-4d75-83bd-7c103e685568,the media ’s hysterical storyline,"        6. inanimate and generic objects (e.g., ""a study"")"
23,f6c24134-cb83-4f7a-bda8-ca221a65f73f,"( Michael Bruce , CDC , unpublished data )","        6. inanimate and generic objects (e.g., ""a study"")"
24,f924819d-08df-49c1-823d-9afc39d6a84b,Assessments of prevalence pre and post vaccine introduction,"        6. inanimate and generic objects (e.g., ""a study"")"
25,fa2ae5ba-b716-4c16-83e5-80579933ebaf,the complaint,"        6. inanimate and generic objects (e.g., ""a study"")"
26,ef5fde58-e1d7-435a-b546-3ebb7b612427,Vikari et al. ( 1979 .,"        6. inanimate and generic objects (e.g., ""a study"")"
27,f273b00b-7ef7-4281-9700-f60a4910a264,City News Service and Patch Editor Renee Schiavone,"        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
28,f86e71b0-8487-4781-a2cc-f65ff8f1c0e7,their ' travel clinic ',"        6. inanimate and generic objects (e.g., ""a study"")"
29,f4213540-ac9d-493f-9268-ef6b81ef42b5,Boston Children ’s Hospital ’s Majumder,"        1. named individuals (e.g., ""Donald Trump"")"
30,f24d1de4-83ed-4b60-977d-f8afcfba1be0,officials,"        5. collective roles (e..g., ""doctors"")"
31,f349c69c-95c6-4620-b981-257792499491,This case report,"        6. inanimate and generic objects (e.g., ""a study"")"
32,f34e03c5-7033-48ae-992d-8410f97d6d30,"Cristina Cassetti , program officer at the National Institute of Allergy and Infectious Diseases ,","        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
33,f2924a1f-cd94-4e3f-b267-270f472c6c84,state health officials,"        5. collective roles (e..g., ""doctors"")"
34,f00a0265-1f76-4d07-ac94-255c274c403a,Durbin,"        1. named individuals (e.g., ""Donald Trump"")"
35,f220fcaa-e9ce-458d-816f-efa49b06af26,At least one study,"        6. inanimate and generic objects (e.g., ""a study"")"
36,ee037310-4341-4f2e-99a2-5bca7b0f1626,This case report,"        6. inanimate and generic objects (e.g., ""a study"")"
37,ee7c110f-9efb-4db3-880a-7309303413ef,political and medical experts,"        5. collective roles (e..g., ""doctors"")"
38,eabaecc9-aad5-4346-b2bd-a61fcac9450c,The CDC and both drug companies,"        6. inanimate and generic objects (e.g., ""a study"")"
39,ea852833-a87f-41c3-bad5-3eb5caa3f4c2,some parents,"        5. collective roles (e..g., ""doctors"")"
40,edeed805-5229-4de3-8cbc-319f74eafed0,public health officials,"        5. collective roles (e..g., ""doctors"")"
41,ee18ab95-86f4-4ce2-8d3a-eb09bdecaab8,Vaccine experts,"        5. collective roles (e..g., ""doctors"")"
42,ee9f0f0c-0e22-4a5b-a587-76f48ab51fe9,The esteemed Johns Hopkins Hospital,"        6. inanimate and generic objects (e.g., ""a study"")"
43,ed833bb2-8bd5-44ff-a881-8199c4381c75,the mainstream media who,"        6. inanimate and generic objects (e.g., ""a study"")"
44,ed0a14cd-0a4a-4b11-8f58-41476cc0022b,ACIP,"        6. inanimate and generic objects (e.g., ""a study"")"
45,eb2bd2f7-23ae-4299-aaaf-ab4c791e9dcc,his mother,"        3. role or profession without further specifications (e.g., ""a doctor"")"
46,eaeeb7a4-72be-4a93-b159-18ea9ca6e9cc,immunization advocates,"        5. collective roles (e..g., ""doctors"")"
47,ed293e19-7973-4985-b76a-bec7a476d265,Beth Noelle,"        1. named individuals (e.g., ""Donald Trump"")"
48,ebf4a8d9-0941-48e5-b60b-ce4a8ca9d833,Some observational studies,"        6. inanimate and generic objects (e.g., ""a study"")"
49,e8adaffe-439d-43d0-803e-590e4a3829e9,Most doctors I asked,"        5. collective roles (e..g., ""doctors"")"
50,eb83a33e-9839-4c4c-93fe-bdd2d7c24b2c,Sister,"        3. role or profession without further specifications (e.g., ""a doctor"")"
51,ea0e79d1-9174-47ff-8c64-bfc1d0a61b23,Anyone vaccinated by their own occupational health service,"          4. collective expressions (e.g. ""some people"")"
52,e9ce80aa-c0c0-429a-b100-3124ce7b9052,Poland,"        6. inanimate and generic objects (e.g., ""a study"")"
53,e9cb35c8-bc68-4160-b0ec-fdd12bf340ae,scientists at the FDA,"        5. collective roles (e..g., ""doctors"")"
54,e8949d7d-f029-4329-8973-bc9f5063ec81,experts,"        5. collective roles (e..g., ""doctors"")"
55,dcbf468f-235f-4a7c-a870-3a2ac522359a,Centers for Disease Control ( 2013 ) 36,"        6. inanimate and generic objects (e.g., ""a study"")"
56,e3cc916b-3af8-4ac8-a5c5-5c3acc5f128f,Anyone vaccinated by their own occupational health service,"          4. collective expressions (e.g. ""some people"")"
57,e731cf13-1951-44b2-a369-fdecf0333fde,"[ 33 , section 113.6 ]","        6. inanimate and generic objects (e.g., ""a study"")"
58,e312c61c-39b8-41ef-a2e1-4fab7939811b,Durbin,"        1. named individuals (e.g., ""Donald Trump"")"
59,e8ff4c4d-da0f-4212-8a31-352cb39511e5,Cricket Grein,"        1. named individuals (e.g., ""Donald Trump"")"
60,e382ce4a-ecec-4f00-b863-a0d591238cca,"Del Bigtree , Producer ,","        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
61,e4ce9a77-6d84-4b15-8a23-e61ba2019b9e,Some observational studies,"        6. inanimate and generic objects (e.g., ""a study"")"
62,d599e6e9-360c-4644-8343-c14879d5664a,public health officials,"        5. collective roles (e..g., ""doctors"")"
63,dd1d92f8-db85-461e-9b14-4f0e6915762e,the country,"        6. inanimate and generic objects (e.g., ""a study"")"
64,e1713967-c337-4701-8fa2-24525a730ca1,the article,"        6. inanimate and generic objects (e.g., ""a study"")"
65,db57a409-762e-4955-a69d-bc2a9e60c839,the nursing school where I am enrolled,"        6. inanimate and generic objects (e.g., ""a study"")"
66,d99f4390-1d79-49f4-9c79-1405371d8b79,A small number of parents that we interviewed,"        5. collective roles (e..g., ""doctors"")"
67,d7c60af0-6ce0-4360-9239-89c5f6658a6e,Boston Children ’s Hospital ’s Majumder,"        1. named individuals (e.g., ""Donald Trump"")"
68,bf086332-a4a6-4efc-a81d-06769582069b,the NY Medical Examiner ( Dr. Persechino ),"        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
69,e06a5ccf-7913-4a58-8492-bcaf1c03939d,"Helen Ratajczak , a former senior scientist at a pharmaceutical firm ,","        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
70,e09f543b-6d29-4f64-b80a-a605568fbdcd,The report,"        6. inanimate and generic objects (e.g., ""a study"")"
71,dcebf14f-e199-44a4-8ee0-148c957c50f8,the pharmaceutical companies,"        6. inanimate and generic objects (e.g., ""a study"")"
72,d9d4a6fc-3e92-4132-965d-29f736c5ea1d,easytraveler,"        6. inanimate and generic objects (e.g., ""a study"")"
73,d9e8abef-6340-4e75-95c4-d2fa99823c8d,Research,"        6. inanimate and generic objects (e.g., ""a study"")"
74,d21299ca-9461-4cff-9e8d-6b62e54f9a96,The American Academy of Pediatrics,"        6. inanimate and generic objects (e.g., ""a study"")"
75,d65488d3-287e-4fe4-b36f-36699b5fed73,Anyone vaccinated by their own occupational health service,"          4. collective expressions (e.g. ""some people"")"
76,d505745e-611a-4cf7-b2d5-061bc5508043,"Reich , who is the author of \"" Calling the Shots : Why Parents Reject Vaccines \"" ( NYU Press , 2016 )","        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
77,d8fd8b04-be6e-450d-9712-9bb89f206406,"Del Bigtree , Producer ,","        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
78,d9032e49-cc84-4827-834e-df63172f2bcc,Sister,"        3. role or profession without further specifications (e.g., ""a doctor"")"
79,d634a759-9459-41ca-9d5f-8af3d42d9d1f,"Dr Harris L Coulter , PhD","        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
80,d435f4a3-8724-488c-8843-45078128d950,a recent Chinese study,"        6. inanimate and generic objects (e.g., ""a study"")"
81,d58930e9-25f2-4a53-913e-051e7e95c4cd,most of the people stricken with Mickey Mouse measles,"          4. collective expressions (e.g. ""some people"")"
82,d3f8374a-1d0e-403d-b04c-414e9d531afa,Research,"        6. inanimate and generic objects (e.g., ""a study"")"
83,d5df4359-f089-4ab6-be7c-6c432de010c9,This case report,"        6. inanimate and generic objects (e.g., ""a study"")"
84,d3a09631-b98e-4313-a25c-5412b1809d82,the complaint,"        6. inanimate and generic objects (e.g., ""a study"")"
85,cfa01fbd-c4e2-4f1d-885c-a9d3b5cf7491,"Jenna Mize , associate veterinarian at the Firehouse Animal Center in Austin ,","        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
86,d2400b79-e0e3-4edc-bdb3-ee6f3e4e8a27,The esteemed Johns Hopkins Hospital,"        6. inanimate and generic objects (e.g., ""a study"")"
87,d3a33915-9a15-4721-85f3-197d633f8ea3,your veterinarian,"        3. role or profession without further specifications (e.g., ""a doctor"")"
88,d0a255fe-0a44-4a5a-a121-30b882c61ef5,Kennedy ’s,"        1. named individuals (e.g., ""Donald Trump"")"
89,d1d390ca-35b2-4667-84f0-55630848eeae,two official sources of data,"        6. inanimate and generic objects (e.g., ""a study"")"
90,d148ed71-5fb2-4033-8682-03686cedaf42,officials,"        5. collective roles (e..g., ""doctors"")"
91,cbecc3bd-a615-4894-86cf-db8e0fee2ab7,"MMWR Measles in an Immunized School-Aged Population — New Mexico Vol 34 , No 04 ; 052 02/01 / 1985","        6. inanimate and generic objects (e.g., ""a study"")"
92,d19e8866-5809-4a62-876b-291ff6ce1bb6,Durbin,"        1. named individuals (e.g., ""Donald Trump"")"
93,d0d0f831-33f4-459f-a7ca-6559aa73eeb4,The doctors,"        5. collective roles (e..g., ""doctors"")"
94,d21a8881-e755-4476-8799-1776e23c32db,"[ 33 , section 113.6 ]","        6. inanimate and generic objects (e.g., ""a study"")"
95,cc9fe16e-62a1-41ed-bda2-26d1e06ab92f,authorities,"        5. collective roles (e..g., ""doctors"")"
96,d187e037-14e8-4e95-b9c7-f10e6ef4b81b,JABS,"        6. inanimate and generic objects (e.g., ""a study"")"
97,c9cc9bfb-4e69-4166-8ab9-f358dcbbee07,scientists at the FDA,"        5. collective roles (e..g., ""doctors"")"
98,d0a94930-4a91-4bc9-a32a-e343a541ca59,the pharmaceutical companies,"        6. inanimate and generic objects (e.g., ""a study"")"
99,cbc061ce-b101-4f61-9c06-44cdb8ecffba,evidence,"        6. inanimate and generic objects (e.g., ""a study"")"
100,cc8c5c86-1a82-42a6-8a88-8c535290735c,Ngare,"        1. named individuals (e.g., ""Donald Trump"")"
101,cf1d0f98-974e-4602-bb86-37fdce8cfbd1,"[ 33 , section 113.6 ]","        6. inanimate and generic objects (e.g., ""a study"")"
102,d020bcb7-eb52-40c0-877f-ba309c6eb70e,the media ’s hysterical storyline,"        6. inanimate and generic objects (e.g., ""a study"")"
103,c9dd0dd3-f93f-47c7-b4f8-89cd97c9cdb1,"Reich , who is the author of \"" Calling the Shots : Why Parents Reject Vaccines \"" ( NYU Press , 2016 )","        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
104,ce777c63-faa5-4f06-b77d-ef88f6c663b7,"[ 33 , section 113.6 ]","        6. inanimate and generic objects (e.g., ""a study"")"
105,cb6b2445-5a76-423c-95b7-6597d2507503,The researchers,"        5. collective roles (e..g., ""doctors"")"
106,c397f6c7-a89e-4243-ac71-8a81ef02fadf,The researchers,"        5. collective roles (e..g., ""doctors"")"
107,cb2a6d0d-2820-4845-8c7a-dd38d8180d62,researchers,"        5. collective roles (e..g., ""doctors"")"
108,c8990366-6c43-4d37-afb5-ebe3da9fcad0,anybody,"          4. collective expressions (e.g. ""some people"")"
109,c8d77a3c-ab57-4f93-b7dd-6e32168c9896,my kids,"        5. collective roles (e..g., ""doctors"")"
110,ca4e7cb9-4d26-4979-b34b-7b0969b41559,The CDC and both drug companies,"        6. inanimate and generic objects (e.g., ""a study"")"
111,c8dc4ad0-c505-4dc8-9411-8e92e55f2612,Serologic studies in 2 dogs and virus isolation from the 3rd dog,"        6. inanimate and generic objects (e.g., ""a study"")"
112,cb2d9fc1-9aca-4aa6-92b1-e31d21ea2512,the article,"        6. inanimate and generic objects (e.g., ""a study"")"
113,c8ffd18f-e056-461c-9f64-94ca33ff0d05,The esteemed Johns Hopkins Hospital,"        6. inanimate and generic objects (e.g., ""a study"")"
114,c51fcb2a-28b5-4704-bfae-fae1e15d36b5,"Reich , who is the author of \"" Calling the Shots : Why Parents Reject Vaccines \"" ( NYU Press , 2016 )","        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
115,c1b762b7-2767-482e-8e4a-3273467b888f,the pharmaceutical companies,"        6. inanimate and generic objects (e.g., ""a study"")"
116,c21c2dfd-2360-4088-915c-d7c9911a61b0,The doctors,"        5. collective roles (e..g., ""doctors"")"
117,bff4e9c9-3989-4c82-a9a1-7f501438ce9c,Stef Miharas,"        1. named individuals (e.g., ""Donald Trump"")"
118,c59835da-53fd-4666-9dcb-d26ec0f547a4,Priests throughout Kenya,"        5. collective roles (e..g., ""doctors"")"
119,c7976e49-c1bd-4ef5-a7a6-26ab6ef3ef33,evidence,"        6. inanimate and generic objects (e.g., ""a study"")"
120,c6dfdf35-b947-45f0-8787-c4ddea25d442,"Del Bigtree , Producer ,","        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
121,c8cc2632-cb99-414a-8d47-b87509baa84f,29 ( 43 % ),"        6. inanimate and generic objects (e.g., ""a study"")"
122,c682dcd2-af1e-401f-ad8a-2b0913ab64f9,"Gregory Poland , MD , director of the Mayo Clinic 's Vaccine Research Group ,","        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
123,a2ddaad9-f300-4972-b0a9-429f62901359,Cynthia Wolff,"        1. named individuals (e.g., ""Donald Trump"")"
124,c6129be4-01c7-485e-8337-f733110e2bdc,City News Service and Patch Editor Renee Schiavone,"        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
125,c27a737b-acca-450b-8f8c-8278695ae7e6,the Mayo Clinic,"        6. inanimate and generic objects (e.g., ""a study"")"
126,9b53aec1-5232-42a6-8e51-a3e4be78e17e,Wakefield,"        1. named individuals (e.g., ""Donald Trump"")"
127,c35019ca-cbe7-4a63-8165-f380af2624e9,another doctor,"        3. role or profession without further specifications (e.g., ""a doctor"")"
128,c2b5aeae-cbf9-4228-a682-5dbbdd1a70e4,Centers for Disease Control ( 2013 ) 36,"        6. inanimate and generic objects (e.g., ""a study"")"
129,c3e64f1d-a0d4-49eb-b15e-721ba5a09f41,Assessments of prevalence pre and post vaccine introduction,"        6. inanimate and generic objects (e.g., ""a study"")"
130,c037d8ec-92e5-4951-bc4e-1c47f901cb5f,Dunbar,"        1. named individuals (e.g., ""Donald Trump"")"
131,c3d99fb2-2a19-4512-bf1d-c8fbc78c5182,Dr. Hotez,"        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
132,c2a43386-662b-4504-9068-933985adf3ff,The doctors,"        5. collective roles (e..g., ""doctors"")"
133,c0991ae3-5bf7-4627-ac71-d0f1c99a0eba,Research,"        6. inanimate and generic objects (e.g., ""a study"")"
134,a7f3ccdb-6ef6-4ef1-9f98-29116e7b104a,"Helen Ratajczak , a former senior scientist at a pharmaceutical firm ,","        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
135,bf556fca-2310-42b6-b68d-7cd1dd67873d,Schaffner,"        1. named individuals (e.g., ""Donald Trump"")"
136,bdacd199-fec1-4b39-af54-38c2dbc947f0,"[ 33 , section 113.6 ]","        6. inanimate and generic objects (e.g., ""a study"")"
137,c10c6815-5129-4169-99e9-5f3ce1c40478,the pharmaceutical companies,"        6. inanimate and generic objects (e.g., ""a study"")"
138,bf35e9bc-2f65-4a3f-98d7-00e5da986a0a,state health officials,"        5. collective roles (e..g., ""doctors"")"
139,bef7be35-ee92-4559-b7fd-7567cbcadf83,"Helen Ratajczak , a former senior scientist at a pharmaceutical firm ,","        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
140,be68dc3c-96a5-40e5-9719-4099e8a132e4,Majumder,"        1. named individuals (e.g., ""Donald Trump"")"
141,bea6479c-644a-4141-8e2f-91d0c5464b49,"Del Bigtree , Producer ,","        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
142,be036cea-c7c0-4d8b-9122-2348e12808f0,29 ( 43 % ),"        6. inanimate and generic objects (e.g., ""a study"")"
143,b6bd1176-a49a-4a1e-b789-8119b6a0f4c7,Dr. Ngare,"        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
144,bc9ae7f8-e619-4bcb-9222-29a14583b561,the MMR vaccine 's manufacturer Merck 's own product insert,"        6. inanimate and generic objects (e.g., ""a study"")"
145,bd542b97-d4be-4fa7-9830-5af2f58fc310,Serologic studies in 2 dogs and virus isolation from the 3rd dog,"        6. inanimate and generic objects (e.g., ""a study"")"
146,bdce251a-18e2-4820-bab7-a36d7c89beaf,Most doctors I asked,"        5. collective roles (e..g., ""doctors"")"
147,bc415df0-4660-4307-88a3-271474f4ea95,the vast majority of medical experts,"        5. collective roles (e..g., ""doctors"")"
148,bb07435a-b441-4fbf-8489-b98eba4aedce,Most doctors I asked,"        5. collective roles (e..g., ""doctors"")"
149,bcc270ad-a846-49bd-8c87-5d08796be8e9,The startling case study,"        6. inanimate and generic objects (e.g., ""a study"")"
150,b95c52e5-9458-4e73-9196-25b2439b4f2c,At least one study,"        6. inanimate and generic objects (e.g., ""a study"")"
151,bb5c82b9-da6e-458a-a294-0d4842221abd,Sister,"        3. role or profession without further specifications (e.g., ""a doctor"")"
152,bad0cde6-37d4-4eaf-8f75-38359e9faf6c,evidence,"        6. inanimate and generic objects (e.g., ""a study"")"
153,b8ca4669-1a4f-438e-a99f-885ebb5aec87,Vaccine experts,"        5. collective roles (e..g., ""doctors"")"
154,bd75349d-46e9-49fe-b438-a61295a09cfe,experts,"        5. collective roles (e..g., ""doctors"")"
155,b2f55f80-697e-4883-9594-ca6788ef6808,the media ’s hysterical storyline,"        6. inanimate and generic objects (e.g., ""a study"")"
156,bb68f3c5-25f9-4ad0-af4d-2e2368b6046e,The esteemed Johns Hopkins Hospital,"        6. inanimate and generic objects (e.g., ""a study"")"
157,b8cfe60f-c8f4-4b72-9673-d3233c160d60,my parents,"        3. role or profession without further specifications (e.g., ""a doctor"")"
